filename,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s,duration,duration_m,rowNo,type,stim1,textColor,key,condition1,condition2,feedback,stimFormat,ITI,keyboard,random,head,responseType,responseOptions,responseOther,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,3,test,CAR,green,right,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,left up right,,,,,,800,48,16.67,29276,right,3037,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,4,test,SHOE,blue,up,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,left up right,,,,,,799,48,16.65,35375,up,889,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,5,test,RED,red,left,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,left up right,,,,,,800,48,16.67,37906,left,323,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,6,test,HOUSE,blue,up,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,left up right,,,,,,800,48,16.66,40606,up,724,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,7,test,BLUE,green,right,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,left up right,,,,,,800,48,16.66,43270,right,702,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,8,test,GREEN,red,left,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,left up right,,,,,,799,48,16.65,45873,up,605,0,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,20,test,GREEN,green,right,critical,congruent,,word,800,left up right,1,,,,,800,48,16.68,54392,right,925,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,25,test,RED,blue,up,critical,incongruent,,word,800,left up right,1,,,,,799,48,16.65,56724,up,1538,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,34,test,CAR,red,left,filler,,,word,800,left up right,1,,,,,800,48,16.67,58166,left,650,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,44,test,HOUSE,red,left,filler,,,word,800,left up right,1,,,,,800,48,16.66,59427,left,460,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,39,test,SHOE,red,left,filler,,,word,800,left up right,1,,,,,800,48,16.66,60588,left,372,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,33,test,GREEN,blue,up,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.66,62113,up,723,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,30,test,GREEN,red,left,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.67,63989,left,1089,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,40,test,SHOE,green,right,filler,,,word,800,left up right,1,,,,,800,48,16.67,66139,right,1357,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,10,test,RED,red,left,critical,congruent,,word,800,left up right,1,,,,,801,48,16.69,67914,left,980,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,23,test,RED,blue,up,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.67,69043,up,344,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,37,test,CAR,red,left,filler,,,word,800,left up right,1,,,,,801,48,16.68,70470,left,631,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,42,test,HOUSE,green,right,filler,,,word,800,left up right,1,,,,,800,48,16.67,71840,right,574,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,16,test,BLUE,blue,up,critical,congruent,,word,800,left up right,1,,,,,801,48,16.7,73260,up,627,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,27,test,BLUE,green,right,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.66,75310,right,1261,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,14,test,BLUE,blue,up,critical,congruent,,word,800,left up right,1,,,,,800,48,16.67,77093,up,994,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,31,test,GREEN,blue,up,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.66,78655,up,772,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,15,test,BLUE,blue,up,critical,congruent,,word,800,left up right,1,,,,,800,48,16.66,79926,up,478,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,12,test,RED,red,left,critical,congruent,,word,800,left up right,1,,,,,800,48,16.66,81154,left,439,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,28,test,BLUE,red,left,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.67,82712,left,764,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,35,test,CAR,green,right,filler,,,word,800,left up right,1,,,,,799,48,16.64,84181,right,683,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,41,test,SHOE,blue,up,filler,,,word,800,left up right,1,,,,,800,48,16.66,85667,up,702,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,21,test,GREEN,green,right,critical,congruent,,word,800,left up right,1,,,,,799,48,16.65,87090,right,642,1,
